title,price,rating,availability,category,source
A Light in the Attic,£51.77,Three,In stock,Poetry,Books to Scrape
Tipping the Velvet,£53.74,One,In stock,Historical Fiction,Books to Scrape
Soumission,£50.10,One,In stock,Fiction,Books to Scrape
Sharp Objects,£47.82,Four,In stock,Mystery,Books to Scrape
Sapiens: A Brief History of Humankind,£54.23,Five,In stock,History,Books to Scrape
The Requiem Red,£22.65,One,In stock,Young Adult,Books to Scrape
The Dirty Little Secrets of Getting Your Dream Job,£33.34,Four,In stock,Business,Books to Scrape
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,Three,In stock,Default,Books to Scrape
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,Four,In stock,Default,Books to Scrape
The Black Maria,£52.15,One,In stock,Poetry,Books to Scrape
"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,Two,In stock,Default,Books to Scrape
Shakespeare's Sonnets,£20.66,Four,In stock,Poetry,Books to Scrape
Set Me Free,£17.46,Five,In stock,Young Adult,Books to Scrape
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,Five,In stock,Sequential Art,Books to Scrape
Rip it Up and Start Again,£35.02,Five,In stock,Music,Books to Scrape
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,Three,In stock,Music,Books to Scrape
Olio,£23.88,One,In stock,Poetry,Books to Scrape
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,One,In stock,Science Fiction,Books to Scrape
Libertarianism for Beginners,£51.33,Two,In stock,Politics,Books to Scrape
It's Only the Himalayas,£45.17,Two,In stock,Travel,Books to Scrape
In Her Wake,£12.84,One,In stock,Thriller,Books to Scrape
How Music Works,£37.32,Two,In stock,Music,Books to Scrape
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",£30.52,Three,In stock,Food and Drink,Books to Scrape
Chase Me (Paris Nights #2),£25.27,Five,In stock,Romance,Books to Scrape
Black Dust,£34.53,Five,In stock,Romance,Books to Scrape
Birdsong: A Story in Pictures,£54.64,Three,In stock,Childrens,Books to Scrape
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,£22.50,Three,In stock,Default,Books to Scrape
Aladdin and His Wonderful Lamp,£53.13,Three,In stock,Default,Books to Scrape
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,£40.30,Five,In stock,Nonfiction,Books to Scrape
Wall and Piece,£44.18,Four,In stock,Art,Books to Scrape
The Four Agreements: A Practical Guide to Personal Freedom,£17.66,Five,In stock,Spirituality,Books to Scrape
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,£31.05,Three,In stock,Nonfiction,Books to Scrape
The Elephant Tree,£23.82,Five,In stock,Thriller,Books to Scrape
The Bear and the Piano,£36.89,One,In stock,Childrens,Books to Scrape
Sophie's World,£15.94,Five,In stock,Philosophy,Books to Scrape
Penny Maybe,£33.29,Three,In stock,Default,Books to Scrape
Maude (1883-1993):She Grew Up with the country,£18.02,Two,In stock,Default,Books to Scrape
"In a Dark, Dark Wood",£19.63,One,In stock,Mystery,Books to Scrape
Behind Closed Doors,£52.22,Four,In stock,Thriller,Books to Scrape
You can't bury them all: Poems,£33.63,Two,In stock,Poetry,Books to Scrape
Slow States of Collapse: Poems,£57.31,Three,In stock,Poetry,Books to Scrape
Reasons to Stay Alive,£26.41,Two,In stock,Nonfiction,Books to Scrape
Private Paris (Private #10),£47.61,Five,In stock,Fiction,Books to Scrape
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,£23.11,Five,In stock,Nonfiction,Books to Scrape
Without Borders (Wanderlove #1),£45.07,Two,In stock,New Adult,Books to Scrape
When We Collided,£31.77,One,In stock,Contemporary,Books to Scrape
"We Love You, Charlie Freeman",£50.27,Five,In stock,Fiction,Books to Scrape
Untitled Collection: Sabbath Poems 2014,£14.27,Four,In stock,Poetry,Books to Scrape
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",£44.18,Four,In stock,Nonfiction,Books to Scrape
Unicorn Tracks,£18.78,Three,In stock,Fantasy,Books to Scrape
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",£25.52,One,In stock,History,Books to Scrape
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),£16.28,One,In stock,Sequential Art,Books to Scrape
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,£31.12,Three,In stock,Nonfiction,Books to Scrape
This One Summer,£19.49,Four,In stock,Sequential Art,Books to Scrape
Thirst,£17.27,Five,In stock,Fiction,Books to Scrape
The Torch Is Passed: A Harding Family Story,£19.09,One,In stock,Add a comment,Books to Scrape
The Secret of Dreadwillow Carse,£56.13,One,In stock,Childrens,Books to Scrape
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",£56.41,One,In stock,Food and Drink,Books to Scrape
The Past Never Ends,£56.50,Four,In stock,Mystery,Books to Scrape
The Natural History of Us (The Fine Art of Pretending #2),£45.22,Three,In stock,Young Adult,Books to Scrape
The Nameless City (The Nameless City #1),£38.16,Four,In stock,Sequential Art,Books to Scrape
The Murder That Never Was (Forensic Instincts #5),£54.11,Three,In stock,Fiction,Books to Scrape
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,£42.96,Four,In stock,Science,Books to Scrape
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",£23.89,Four,In stock,Add a comment,Books to Scrape
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,£16.77,Three,In stock,Nonfiction,Books to Scrape
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",£20.59,Five,In stock,Default,Books to Scrape
The Gutsy Girl: Escapades for Your Life of Epic Adventure,£37.13,One,In stock,Nonfiction,Books to Scrape
The Electric Pencil: Drawings from Inside State Hospital No. 3,£56.06,One,In stock,Nonfiction,Books to Scrape
The Death of Humanity: and the Case for Life,£58.11,Four,In stock,Philosophy,Books to Scrape
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",£49.05,Three,In stock,Health,Books to Scrape
The Art Forger,£40.76,Three,In stock,Add a comment,Books to Scrape
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,£19.73,One,In stock,History,Books to Scrape
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,£32.24,Five,In stock,Spirituality,Books to Scrape
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,£41.83,Four,In stock,Nonfiction,Books to Scrape
Soul Reader,£39.58,Two,In stock,Default,Books to Scrape
Security,£39.25,Two,In stock,Horror,Books to Scrape
"Saga, Volume 6 (Saga (Collected Editions) #6)",£25.02,Three,In stock,Fantasy,Books to Scrape
"Saga, Volume 5 (Saga (Collected Editions) #5)",£51.04,Two,In stock,Sequential Art,Books to Scrape
Reskilling America: Learning to Labor in the Twenty-First Century,£19.83,Two,In stock,Nonfiction,Books to Scrape
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",£50.40,Three,In stock,Sequential Art,Books to Scrape
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",£13.61,Five,In stock,Sequential Art,Books to Scrape
Princess Between Worlds (Wide-Awake Princess #5),£13.34,Five,In stock,Fantasy,Books to Scrape
"Pop Gun War, Volume 1: Gift",£18.97,One,In stock,Sequential Art,Books to Scrape
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",£36.28,Two,In stock,History,Books to Scrape
Patience,£10.16,Three,In stock,Sequential Art,Books to Scrape
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",£15.44,Four,In stock,Sequential Art,Books to Scrape
orange: The Complete Collection 1 (orange: The Complete Collection #1),£48.41,One,In stock,Sequential Art,Books to Scrape
Online Marketing for Busy Authors: A Step-By-Step Guide,£46.35,One,In stock,Self Help,Books to Scrape
On a Midnight Clear,£14.07,Three,In stock,Add a comment,Books to Scrape
Obsidian (Lux #1),£14.86,Two,In stock,Young Adult,Books to Scrape
My Paris Kitchen: Recipes and Stories,£33.37,Two,In stock,Food and Drink,Books to Scrape
Masks and Shadows,£56.40,Two,In stock,Fantasy,Books to Scrape
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",£14.02,Four,In stock,Food and Drink,Books to Scrape
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",£46.91,Two,In stock,Sequential Art,Books to Scrape
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",£45.61,Three,In stock,Sequential Art,Books to Scrape
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),£19.92,Two,In stock,Sequential Art,Books to Scrape
"Layered: Baking, Building, and Styling Spectacular Cakes",£40.11,One,In stock,Food and Drink,Books to Scrape
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),£53.90,Two,In stock,Add a comment,Books to Scrape
Join,£35.67,Five,In stock,Science Fiction,Books to Scrape
In the Country We Love: My Family Divided,£22.00,Four,In stock,Nonfiction,Books to Scrape
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,£57.36,Five,In stock,Science,Books to Scrape
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",£29.17,Two,In stock,Sequential Art,Books to Scrape
I am a Hero Omnibus Volume 1,£54.63,Three,In stock,Sequential Art,Books to Scrape
How to Be Miserable: 40 Strategies You Already Use,£46.03,One,In stock,Self Help,Books to Scrape
Her Backup Boyfriend (The Sorensen Family #1),£33.97,One,In stock,Romance,Books to Scrape
"Giant Days, Vol. 2 (Giant Days #5-8)",£22.11,Two,In stock,Sequential Art,Books to Scrape
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,£29.69,Three,In stock,Historical Fiction,Books to Scrape
First and First (Five Boroughs #3),£15.97,Four,In stock,Romance,Books to Scrape
Fifty Shades Darker (Fifty Shades #2),£21.96,One,In stock,Romance,Books to Scrape
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,£54.35,Two,In stock,Nonfiction,Books to Scrape
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",£37.97,Two,In stock,Religion,Books to Scrape
Danganronpa Volume 1,£51.99,Four,In stock,Sequential Art,Books to Scrape
Crown of Midnight (Throne of Glass #2),£43.29,Three,In stock,Fantasy,Books to Scrape
"Codename Baboushka, Volume 1: The Conclave of Death",£36.72,Four,In stock,Sequential Art,Books to Scrape
Camp Midnight,£17.08,Four,In stock,Sequential Art,Books to Scrape
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,£29.14,Five,In stock,Nonfiction,Books to Scrape
Burning,£28.81,Three,In stock,Young Adult,Books to Scrape
Bossypants,£49.46,Two,In stock,Default,Books to Scrape
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",£37.92,Two,In stock,Sequential Art,Books to Scrape
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",£28.09,Two,In stock,Fantasy,Books to Scrape
Algorithms to Live By: The Computer Science of Human Decisions,£30.81,One,In stock,Nonfiction,Books to Scrape
A World of Flavor: Your Gluten Free Passport,£42.95,One,In stock,Default,Books to Scrape
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",£56.76,Five,In stock,Default,Books to Scrape
A Murder in Time,£16.64,One,In stock,Mystery,Books to Scrape
A Flight of Arrows (The Pathfinders #2),£55.53,Five,In stock,Historical Fiction,Books to Scrape
A Fierce and Subtle Poison,£28.13,Four,In stock,Young Adult,Books to Scrape
A Court of Thorns and Roses (A Court of Thorns and Roses #1),£52.37,One,In stock,Fantasy,Books to Scrape
(Un)Qualified: How God Uses Broken People to Do Big Things,£54.00,Five,In stock,Christian,Books to Scrape
You Are What You Love: The Spiritual Power of Habit,£21.87,Four,In stock,Religion,Books to Scrape
